Birthday,Player,Team
January 1 1993,Larry Nance Jr.,Cleveland
January 3 1992,Doug McDermott,Indiana
January 3 1995,Rondae Hollis-Jefferson,Toronto
January 4 1997,Ante Žižić,Cleveland
January 4 1999,Collin Sexton,Cleveland
January 6 1991,Will Barton,Denver
January 6 1993,Pat Connaughton,Milwalkue
January 8 1994,Glenn Robinson III,Philidelphia
January 8 1998,Tony Bradley,Utah
January 8 1999,Ignas Brazdeikis,New York
January 9 2000,Luka Šamanić,Spurs
January 10 1998,Tremont Waters ,Boston
January 11 1993,Chris Boucher,Toronto
January 15 1993,Kadeem Allen ,New York
January 17 1996,Allonzo Trier,New York
January 18 1990,Gorgui Dieng,Memphis
January 18 1999,Gary Trent Jr.,Portland 
January 19 1988,JaVale McGee,Los Angeles Lakers
January 20 2000,Tyler Herro,Miami
January 22 1996,Dillon Brooks,Memphis
January 23 1996,Keita Bates-Diop,Denver
January 24 1997,Justin James,Scramento
January 26 1977,Vince Carter,Atlanta
January 26 1991,Nicolò Melli,New Orleans
January 26 1994,Montrezl Harrell,Los Angeles Clippers
January 26 2000,Darius Garland,Cleveland
January 28 1984,Andre Iguodala,Miami
January 29 1985,Marc Gasol,Toronto
January 29 1992,Maxi Kleber,Dallas
January 31 1994,Deonte Burton,Oklahoma Thunder
January 31 1997,Donte DiVincenzo,Milwalkue
January 31 1998,Jalen McDaniels,Charlotte
February 1 1997,Drew Eubanks  ,Spurs
February 2 1994,Antonius Cleveland ,Dallas
February 2 1997,Charlie Brown ,Atlanta
February 10 1985,Paul Millsap,Denver
February 10 1995,Sterling Brown,Milwalkue
February 10 1995,Bobby Portis,New York
February 10 1997,Josh Jackson,Memphis
February 11 1993,Ben McLemore,Houston
February 11 2000,Nassir Little,Portland 
February 15 1997,Derrick Jones Jr.,Miami
February 16 2000,Coby White,Chicago
February 18 1993,Kentavious Caldwell-Pope,Los Angeles Lakers
February 19 1995,Nikola Jokić,Denver
February 19 1996,D.J. Wilson,Milwalkue
February 20 1987,James Johnson,Minnesota
February 20 1999,Jarrett Culver,Minnesota
February 22 1986,Rajon Rondo,Los Angeles Lakers
February 22 1994,Elfrid Payton,New York
February 22 1995,Devonte’ Graham,Charlotte
February 22 1997,Jerome Robinson,Washington
February 23 1995,Andrew Wiggins,Golden State Warriors
February 23 1996,D’Angelo Russell,Minnesota
February 23 1997,Jamal Murray,Denver
February 25 1989,E’Twaun Moore,New Orleans
February 25 1994,Fred VanVleet,Toronto
February 25 1995,Mario Hezonja,Portland 
February 25 1997,Thon Maker,Detriot
February 27 1992,Meyers Leonard,Miami
February 28 1994,Alex Caruso,Los Angeles Lakers
February 28 1999,Luka Dončić,Dallas
March 3 1996,Cameron Johnson,Phoenix
March 3 1998,Jayson Tatum,Boston
March 4 1990,Draymond Green,Golden State Warriors
March 4 1997,Matisse Thybulle,Philidelphia
March 5 1990,Mason Plumlee,Denver
March 5 1996,Emmanuel Mudiay,Utah
March 6 1993,Malcolm Miller,Toronto
March 6 1994,Marcus Smart,Boston
March 6 1995,Josh Hart,New Orleans
March 7 1994,Jake Layman,Minnesota
March 8 1994,Michael Frazier  ,Houston
March 8 1995,Marko Guduric,Memphis
March 10 1995,Zach LaVine,Chicago
March 11 1993,Anthony Davis,Los Angeles Lakers
March 11 1997,Ray Spalding  ,Charlotte
March 12 1994,Jerami Grant,Denver
March 12 1998,Carsen Edwards,Boston
March 13 1991,Tristan Thompson,Cleveland
March 13 1997,Landry Shamet,Los Angeles Clippers
March 14 1988,Stephen Curry,Golden State Warriors
March 14 1989,Patrick Patterson,Los Angeles Clippers
March 14 1999,Marvin Bagley III,Scramento
March 15 1995,Jabari Parker,Scramento
March 16 1989,Blake Griffin,Detriot
March 16 1991,Reggie Bullock,New York
March 16 1992,Tim Hardaway Jr.,Dallas
March 16 1994,Joel Embiid,Philidelphia
March 17 1981,Kyle Korver,Milwalkue
March 17 1994,Terry Rozier,Charlotte
March 18 1991,Solomon Hill,Miami
March 18 1994,Kris Dunn,Chicago
March 18 1996,Skal Labissière,Atlanta
March 20 1993,JaKarr Sampson,Indiana
March 21 1990,Darius Miller,New Orleans
March 21 1998,Miles Bridges,Charlotte
March 22 1994,Taurean Prince,Brooklyn
March 22 1996,John Konchar ,Memphis
March 22 1997,Chimezie Metu,Spurs
March 23 1990,Gordon Hayward,Boston
March 23 1992,Kyrie Irving,Brooklyn
March 23 1993,Quinn Cook,Los Angeles Lakers
March 24 1996,Myles Turner,Indiana
March 25 1986,Marco Belinelli,Spurs
March 25 1986,Kyle Lowry,Toronto
March 25 1992,T.J. McConnell,Indiana
March 26 1990,Kyle O’Quinn,Philidelphia
March 26 1994,Ryan Arcidiacono,Chicago
March 26 1996,Justise Winslow,Memphis
March 26 1997,Wenyen Gabriel  ,Portland 
March 28 1991,Jordan McRae,Detriot
March 28 1995,Justin Jackson,Dallas
March 28 1996,Max Strus  ,Chicago
March 30 1997,Admiral Schofield,Washington
March 30 1999,Jaylen Hoard  ,Portland 
April 1 1988,Brook Lopez,Milwalkue
April 1 1988,Robin Lopez,Milwalkue
April 1 1998,Mitchell Robinson,New York
April 2 1994,Pascal Siakam,Toronto
April 3 1994,Frank Mason III  ,Milwalkue
April 3 1999,Jarred Vanderbilt,Minnesota
April 4 1992,Daniel Theis,Boston
April 4 1993,Frank Kaminsky,Phoenix
April 5 1989,Justin Holiday,Indiana
April 6 1993,Spencer Dinwiddie,Brooklyn
April 6 1999,Louis King  ,Detriot
April 8 1994,Dario Šarić,Phoenix
April 8 1995,Cedi Osman,Cleveland
April 9 1996,Jordan McLaughlin  ,Minnesota
April 10 1993,Juan Toscano-Anderson,Golden State Warriors
April 10 1994,Nerlens Noel,Oklahoma Thunder
April 10 1997,Vlatko Čančar,Denver
April 16 1990,Reggie Jackson,Los Angeles Clippers
April 16 1999,Wendell Carter Jr.,Chicago
April 17 1997,Juwan Morgan,Utah
April 17 1998,Kenny Wooten  ,New York
April 17 1999,Nicolas Claxton,Brooklyn
April 18 1989,Bojan Bogdanović,Utah
April 18 1997,Caleb Swanigan,Portland 
April 19 1991,Kelly Olynyk,Miami
April 19 1999,Luguentz Dort  ,Oklahoma Thunder
April 21 1998,Jarrett Allen,Brooklyn
April 22 1994,Duncan Robinson,Miami
April 22 1996,Alize Johnson,Indiana
April 22 1998,Harry Giles,Scramento
April 26 1992,Delon Wright,Dallas
April 26 1996,Chandler Hutchison,Chicago
April 28 1999,KZ Okpala,Miami
April 30 1997,T.J. Leaf,Indiana
May 2 1984,Thabo Sefolosha,Houston
May 2 1990,Paul George,Los Angeles Clippers
May 3 1996,Domantas Sabonis,Indiana
May 4 1986,George Hill,Milwalkue
May 4 1992,Victor Oladipo,Indiana
May 4 1993,Dorian Finney-Smith,Dallas
May 4 1995,Johnathan Motley  ,Los Angeles Clippers
May 4 1998,Frank Jackson,New Orleans
May 4 2000,Kevin Porter Jr.,Cleveland
May 5 1985,P.J. Tucker,Houston
May 5 1998,Isaiah Hartenstein,Houston
May 6 1985,Chris Paul,Oklahoma Thunder
May 6 1986,Goran Dragić,Miami
May 6 1992,Sir’Dominic Pointer,Cleveland
May 6 1992,Jonas Valančiūnas,Memphis
May 6 1994,Damyean Dotson,New York
May 8 1986,Garrett Temple,Brooklyn
May 8 1990,Kemba Walker,Boston
May 8 1996,Khyri Thomas,Detriot
May 8 1999,Džanan Musa,Brooklyn
May 9 1988,Nemanja Bjelica,Scramento
May 9 1993,Yogi Ferrell,Scramento
May 9 1995,Timothé Luwawu-Cabarrot,Brooklyn
May 10 1987,Wilson Chandler,Brooklyn
May 10 1996,Tyus Jones,Memphis
May 11 1993,Maurice Harkless,New York
May 12 1998,Mohamed Bamba,Orlando
May 15 1987,Ersan İlyasova,Milwalkue
May 16 1997,Terence Davis,Toronto
May 17 1998,Terrance Ferguson,Oklahoma Thunder
May 18 1994,Clint Capela,Atlanta
May 19 1992,Raul Neto,Philidelphia
May 20 1992,Enes Kanter,Boston
May 22 1995,Johnathan Williams  ,Washington
May 22 1997,Lauri Markkanen,Chicago
May 23 2000,Jaxson Hayes,New Orleans
May 25 1993,Norman Powell,Toronto
May 27 1994,Willy Hernangómez,Charlotte
May 28 1998,De’Anthony Melton,Memphis
May 29 1984,Carmelo Anthony,Portland 
May 29 1996,Stanley Johnson,Toronto
May 29 1998,Markelle Fultz,Orlando
May 30 1992,Jeremy Lamb,Indiana
May 30 1992,Harrison Barnes,Scramento
June 1 1985,Anthony Tolliver,Memphis
June 3 1986,Al Horford,Philidelphia
June 3 1993,Otto Porter,Chicago
June 4 1997,Josh Reaves  ,Dallas
June 4 1999,Zhaire Smith,Philidelphia
June 5 1989,Ed Davis,Utah
June 5 1993,Royce O’Neale,Utah
June 7 1992,Jordan Clarkson,Utah
June 7 1993,Danuel House,Houston
June 7 1996,Jarrell Brantley,Utah
June 8 1999,Anfernee Simons,Portland 
June 9 1980,Udonis Haslem,Miami
June 10 1988,Jeff Teague,Atlanta
June 10 1997,Sviatoslav Mykhailiuk,Detriot
June 12 1990,Jrue Holiday,New Orleans
June 12 1994,Mychal Mulder,Golden State Warriors
June 12 2000,Darius Bazley,Oklahoma Thunder
June 13 1989,Hassan Whiteside,Portland 
June 13 2000,Jalen Lecque,Phoenix
June 14 1996,Gabe Vincent  ,Miami
June 14 2000,RJ Barrett,New York
June 16 1993,Alex Len,Scramento
June 16 1997,Ky Bowman,Golden State Warriors
June 17 1993,Georges Niang,Utah
June 17 1997,Amir Coffey  ,Los Angeles Clippers
June 18 1997,Jacob Evans,Minnesota
June 19 1986,Marvin Williams,Milwalkue
June 19 1996,Jeremiah Martin  ,Brooklyn
June 19 1999,Jordan Poole,Golden State Warriors
June 20 1998,Oshae Brissett  ,Toronto
June 21 1988,Thaddeus Young,Chicago
June 21 1990,JaMychal Green,Los Angeles Clippers
June 24 1984,J.J. Redick,New Orleans
June 24 1985,Taj Gibson,New York
June 24 1996,Luke Kennard,Detriot
June 26 1984,J.J. Barea,Dallas
June 26 1992,Rudy Gobert,Utah
June 27 1995,Monte Morris,Denver
June 28 1993,Bradley Beal,Washington
June 29 1991,Kawhi Leonard,Los Angeles Clippers
June 29 1998,Michael Porter Jr.,Denver
June 30 1985,Trevor Ariza,Portland 
June 30 1995,Damian Jones,Atlanta
June 30 1995,Tariq Owens  ,Phoenix
July 1 1989,Kent Bazemore,Scramento
July 1 1990,James Ennis,Orlando
July 1 1991,Mike Muscala,Oklahoma Thunder
July 2 1994,Derrick White,Spurs
July 2 1997,Marquese Chriss,Golden State Warriors
July 4 1994,DeAndre’ Bembry,Atlanta
July 4 1997,Kobi Simmons  ,Charlotte
July 5 1988,Ish Smith,Washington
July 6 1990,Jae Crowder,Miami
July 6 2000,Zion Williamson,New Orleans
July 7 1992,Cristiano Felício,Chicago
July 8 1997,Ty Jerome,Phoenix
July 9 1996,Kevin Hervey  ,Oklahoma Thunder
July 9 1999,Jaylen Nowell,Minnesota
July 10 1985,Jared Dudley,Los Angeles Lakers
July 12 1988,Patrick Beverley,Los Angeles Clippers
July 12 1998,Shai Gilgeous-Alexander,Oklahoma Thunder
July 13 1995,Dante Exum,Cleveland
July 14 1991,Shabazz Napier,Washington
July 15 1990,Damian Lillard,Portland 
July 15 1991,Troy Daniels,Denver
July 15 1991,Derrick Favors,New Orleans
July 15 1992,Tobias Harris,Philidelphia
July 15 1995,Luke Kornet,Chicago
July 16 1988,Mike Scott,Philidelphia
July 17 1997,OG Anunoby,Toronto
July 18 1992,Thanasis Antetokounmpo,Milwalkue
July 18 1997,Bam Adebayo,Miami
July 18 1998,Adam Mokoka ,Chicago
July 19 1985,LaMarcus Aldridge,Spurs
July 20 1991,Dwight Powell,Dallas
July 20 1991,Alec Burks,Philidelphia
July 20 1996,Ben Simmons,Philidelphia
July 20 1999,Goga Bitadze,Indiana
July 21 1988,DeAndre Jordan,Brooklyn
July 21 1997,Omari Spellman,Minnesota
July 23 1993,Javonte Green,Boston
July 23 1993,Bryn Forbes,Spurs
July 23 1997,Chris Clemons,Houston
July 23 1998,Deandre Ayton,Phoenix
July 24 1995,Kyle Kuzma,Los Angeles Lakers
July 24 1997,Furkan Korkmaz,Philidelphia
July 25 1989,Brad Wanamaker,Boston
July 26 1995,Marial Shayok  ,Philidelphia
July 27 1986,DeMarre Carroll,Houston
July 28 1998,Frank Ntilikina,New York
July 28 1999,Troy Brown Jr.,Washington
July 29 1991,Rodney McGruder,Los Angeles Clippers
July 31 1997,Thomas Bryant,Washington
July 31 1998,Hamidou Diallo,Oklahoma Thunder
August 1 1992,Austin Rivers,Houston
August 2 1995,Kristaps Porziņģis,Dallas
August 3 1993,Naz Mitrou-Long  ,Indiana
August 3 1995,Kendrick Nunn,Miami
August 3 1995,Kelan Martin  ,Minnesota
August 4 1994,Matt Thomas,Toronto
August 4 1997,Miye Oni,Utah
August 7 1989,DeMar DeRozan,Spurs
August 8 1988,Danilo Gallinari,Oklahoma Thunder
August 10 1993,Andre Drummond,Cleveland
August 10 1999,Ja Morant,Memphis
August 11 1988,Patty Mills,Spurs
August 11 1997,Kyle Guy  ,Scramento
August 11 1999,Kevin Knox,New York
August 12 1989,Dewayne Dedmon,Atlanta
August 12 1991,Khris Middleton,Milwalkue
August 14 1997,Mfiondu Kabengele,Los Angeles Clippers
August 15 1988,Boban Marjanović,Dallas
August 15 1996,Bruce Brown,Detriot
August 15 1998,Bruno Fernando,Atlanta
August 17 1986,Rudy Gay,Spurs
August 18 1992,Bogdan Bogdanović,Scramento
August 18 1993,Willie Cauley-Stein,Dallas
August 18 2000,Alen Smailagić,Golden State Warriors
August 20 1991,Cory Joseph,Scramento
August 23 1990,Seth Curry,Dallas
August 23 1994,Jusuf Nurkić,Portland 
August 23 1998,P.J. Washington,Charlotte
August 24 1995,Noah Vonleh,Denver
August 25 1994,Caris LeVert,Brooklyn
August 26 1989,James Harden,Houston
August 26 1999,Naz Reid,Minnesota
August 28 1986,Jeff Green,Houston
August 28 1992,Bismack Biyombo,Charlotte
August 30 1995,Dwayne Bacon,Charlotte
August 30 1996,Melvin Frazier,Orlando
August 30 1996,Mikal Bridges,Phoenix
August 30 1997,DaQuan Jeffries,Scramento
August 31 1996,Jalen Brunson,Dallas
September 1 1998,Josh Okogie,Minnesota
September 1 1999,Cam Reddish,Atlanta
September 2 1989,Marcus Morris,Los Angeles Clippers
September 2 1989,Markieff Morris,Los Angeles Lakers
September 2 1997,Brandon Ingram,New Orleans
September 2 1998,Nickeil Alexander-Walker,New Orleans
September 5 1993,T.J. Warren,Indiana
September 6 1990,John Wall,Washington
September 6 1991,Joe Harris,Brooklyn
September 7 1988,Kevin Love,Cleveland
September 7 1996,Donovan Mitchell,Utah
September 8 1990,Matthew Dellavedova,Cleveland
September 9 1993,Josh Gray  ,New Orleans
September 10 1996,Quinndary Weatherspoon  ,Spurs
September 13 1996,Cheick Diallo,Phoenix
September 14 1989,Jimmy Butler,Miami
September 14 1994,Gary Harris,Denver
September 14 1995,Jevon Carter,Phoenix
September 14 1997,Jared Harper  ,Phoenix
September 15 1993,Dennis Schröder,Oklahoma Thunder
September 15 1993,Josh Richardson,Philidelphia
September 15 1999,Jaren Jackson Jr.,Memphis
September 16 1994,Nigel Williams-Goss,Utah
September 16 1995,Aaron Gordon,Orlando
September 17 1992,Alfonzo McKinnie,Cleveland
September 18 1989,Serge Ibaka,Toronto
September 19 1991,CJ McCollum,Portland 
September 19 1996,Brandon Clarke,Memphis
September 19 1996,Chris Silva,Miami
September 19 1996,Dejounte Murray,Spurs
September 19 1998,Trae Young,Atlanta
September 20 1993,Kyle Anderson,Memphis
September 21 1995,Bruno Caboclo,Houston
September 22 1996,Dylan Windler,Cleveland
September 23 1997,John Collins,Atlanta
September 24 1997,Rayjon Tucker,Utah
September 25 1993,Abdel Nader,Oklahoma Thunder
September 26 1993,Michael Kidd-Gilchrist,Dallas
September 26 1996,Shake Milton,Philidelphia
September 27 1995,Christian Wood,Detriot
September 28 1992,Khem Birch,Orlando
September 28 1995,Cody Martin,Charlotte
September 28 1995,Caleb Martin,Charlotte
September 28 1995,Juan Hernangómez,Minnesota
September 29 1988,Kevin Durant,Brooklyn
September 30 1996,Aaron Holiday,Indiana
October 1 1998,Daniel Gafford,Chicago
October 2 1982,Tyson Chandler,Houston
October 2 1987,Joe Ingles,Utah
October 2 1995,Brandon Goodwin,Atlanta
October 2 1998,Brian Bowen  ,Indiana
October 10 1991,Michael Carter-Williams,Orlando
October 11 1987,Mike Conley,Utah
October 11 1999,Keldon Johnson,Spurs
October 13 1994,Yuta Watanabe  ,Memphis
October 13 1999,Moses Brown,Portland 
October 14 1986,Wesley Matthews,Milwalkue
October 15 1993,Richaun Holmes,Scramento
October 15 1995,Jakob Pöltl,Spurs
October 17 1993,Vincent Poirier,Boston
October 17 1997,Robert Williams,Boston
October 18 1996,Terance Mann,Los Angeles Clippers
October 20 1992,Rodney Hood,Portland 
October 21 1990,Ricky Rubio,Phoenix
October 21 1992,Damion Lee,Golden State Warriors
October 21 1996,Kyle Alexander  ,Miami
October 23 1997,Elie Okobo,Phoenix
October 24 1990,Nikola Vučević,Orlando
October 24 1996,Jaylen Brown,Boston
October 24 1996,Garrison Mathews  ,Washington
October 25 1993,William Howard  ,Houston
October 25 1995,Patrick McCaw,Toronto
October 25 1996,PJ Dozier  ,Denver
October 25 1999,Romeo Langford,Boston
October 27 1986,Lou Williams,Los Angeles Clippers
October 27 1988,Evan Turner,Minnesota
October 27 1997,Lonzo Ball,New Orleans
October 27 1997,Justin Wright-Foreman,Utah
October 29 1992,Evan Fournier,Orlando
October 3 1985,Courtney Lee,Dallas
October 3 1997,Jonathan Isaac,Orlando
October 30 1991,Tomáš Satoranský,Chicago
October 30 1996,Devin Booker,Phoenix
October 4 1988,Derrick Rose,Detriot
October 5 1992,Cody Zeller,Charlotte
October 6 1993,Shaquille Harrison,Chicago
October 8 1995,Grayson Allen,Memphis
October 8 1996,Devontae Cacok  ,Los Angeles Lakers
November 1 1995,Joe Chealey,Charlotte
November 4 1996,Eric Paschall,Golden State Warriors
November 5 1986,Ian Mahinmi,Washington
November 5 1995,Theo Pinson,Brooklyn
November 5 1995,Trey Lyles,Spurs
November 5 1997,Jordan Bone  ,Detriot
November 8 1999,Isaac Bonga,Washington
November 10 1987,D.J. Augustin,Orlando
November 10 1991,Tony Snell,Detriot
November 12 1988,Russell Westbrook,Houston
November 12 1992,Dāvis Bertāns,Washington
November 15 1995,Karl-Anthony Towns,Minnesota
November 16 1993,Denzel Valentine,Chicago
November 16 1994,Gary Clark,Orlando
November 16 1999,Bol Bol  ,Denver
November 17 1995,Zylan Cheatham ,New Orleans
November 17 1997,Dragan Bender,Golden State Warriors
November 19 1997,Zach Collins,Portland 
November 20 1996,Dean Wade  ,Cleveland
November 20 1997,Kostas Antetokounmpo  ,Los Angeles Lakers
November 21 1995,Chris Chiozza  ,Brooklyn
November 25 1997,Dennis Smith Jr.,New York
November 25 2000,Talen Horton-Tucker,Los Angeles Lakers
November 26 1990,Avery Bradley,Los Angeles Lakers
November 26 1996,Malik Beasley,Minnesota
November 29 1987,Wayne Ellington,New York
November 29 1994,Julius Randle,New York
November 30 1998,Grant Williams,Boston
December 1 1992,Gary Payton II,Washington
December 2 1991,Brandon Knight,Detriot
December 2 1994,Kenrich Williams,New Orleans
December 2 1997,De’Andre Hunter,Atlanta
December 4 1991,Andre Roberson,Oklahoma Thunder
December 5 1994,Semi Ojeleye,Boston
December 6 1994,Giannis Antetokounmpo,Milwalkue
December 8 1985,Dwight Howard,Los Angeles Lakers
December 9 1986,Aron Baynes,Phoenix
December 9 1989,Eric Bledsoe,Milwalkue
December 9 1991,Langston Galloway,Detriot
December 9 1995,Kelly Oubre Jr.,Phoenix
December 9 1996,Dewan Hernandez,Toronto
December 10 1991,Dion Waiters,Los Angeles Lakers
December 10 1995,Tacko Fall  ,Boston
December 11 1992,Malcolm Brogdon,Indiana
December 14 1988,Nicolas Batum,Charlotte
December 14 1990,Robert Covington,Houston
December 14 1998,Lonnie Walker,Spurs
December 15 1995,Jahlil Okafor,New Orleans
December 17 1992,Buddy Hield,Scramento
December 19 1990,Torrey Craig,Denver
December 19 1995,Vic Law  ,Orlando
December 20 1994,Wesley Iwundu,Orlando
December 20 1995,Anžejs Pasečņiks,Washington
December 20 1997,De’Aaron Fox,Scramento
December 21 1995,B.J. Johnson  ,Orlando
December 23 2000,Sekou Doumbouya,Detriot
December 25 1988,Eric Gordon,Houston
December 28 1990,John Henson,Detriot
December 30 1984,LeBron James,Los Angeles Lakers
December 30 1994,Paul Watson  ,Toronto